dataset,bearing,indicator,life_frac,value
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01727,0.13613
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01769,0.16346
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01811,0.24432
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01853,0.10692
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01896,0.13849
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.01938,0.09722
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0198,0.2023
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02022,0.16997
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02064,0.25178
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02106,0.1323
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02148,0.19666
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0219,0.11409
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02233,0.22251
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02275,0.22987
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02317,0.09251
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02359,0.33348
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02401,0.23377
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02443,0.18979
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02485,0.1241
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02527,0.20528
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0257,0.16503
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02612,0.11521
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02654,0.04184
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02696,0.12548
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02738,0.11412
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0278,0.07866
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02822,0.23086
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02864,0.08754
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02906,0.21185
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02949,0.16768
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.02991,0.06476
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03033,0.21901
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03075,0.16151
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03117,0.14118
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03159,0.1053
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03201,0.08881
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03243,0.1545
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03286,0.17733
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03328,0.14074
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0337,0.09528
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03412,0.0499
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03454,0.04969
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03496,0.04937
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03538,0.02356
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0358,0.02389
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03623,0.18615
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03665,0.01968
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03707,0.12563
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03749,0.15199
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03791,0.21136
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03833,0.24302
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03875,0.11167
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.03917,0.1082
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0396,0.04051
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04002,0.01405
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04044,0.04584
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04086,0.05865
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04128,0.06536
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0417,0.10374
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04212,0.07402
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04254,0.16561
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04297,0.04763
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04339,0.10646
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04381,0.09608
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04423,0.08155
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04465,0.09111
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04507,0.08767
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04549,0.07361
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04591,0.06929
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04634,0.18004
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04676,0.14366
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04718,0.11177
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0476,0.07586
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04802,0.0725
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04844,0.07772
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04886,0.07828
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04928,0.09127
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.04971,0.10298
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05013,0.08547
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05055,0.14193
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05097,0.10798
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05139,0.10023
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05181,0.12931
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05223,0.06537
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05265,0.12583
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05307,0.04055
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0535,0.09362
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05392,0.04888
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05434,0.04096
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05476,0.01547
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05518,0.03007
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0556,0.06589
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05602,0.07323
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05644,0.0657
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05687,0.0326
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05729,0.12687
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05771,0.05373
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05813,0.06052
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05855,0.05564
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05897,0.12811
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05939,0.07096
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.05981,0.00209
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06024,0.03788
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06066,0.05694
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06108,0.06773
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0615,0.1068
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06192,0.07991
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06234,0.14083
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06276,0.0763
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06318,0.1369
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06361,0.19301
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06403,0.03778
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06445,0.00225
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06487,0.05917
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06529,0.03621
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06571,0.05704
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06613,0.06051
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06655,0.05053
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06698,0.0526
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0674,0.07411
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06782,0.11174
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06824,0.09339
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06866,0.1147
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06908,0.11622
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0695,0.04991
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.06992,0.04781
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07035,0.05838
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07077,0.08743
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07119,0.15758
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07161,0.19576
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07203,0.1994
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07245,0.21246
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07287,0.12645
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07329,0.16204
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07372,0.07628
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07414,0.07856
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07456,0.11668
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07498,0.17635
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0754,0.13261
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07582,0.06948
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07624,0.05446
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07666,0.07809
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07709,0.06348
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07751,0.06747
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07793,0.12155
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07835,0.0227
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07877,0.10628
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07919,0.08097
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.07961,0.10054
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08003,0.10911
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08045,0.08837
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08088,0.09132
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0813,0.02174
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08172,0.04725
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08214,0.04317
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08256,0.08432
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08298,0.11151
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0834,0.09342
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08382,0.05182
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08425,0.07658
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08467,0.0736
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08509,0.0934
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08551,0.04838
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08593,0.07317
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08635,0.08686
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08677,0.08809
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08719,0.11828
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08762,0.1062
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08804,0.07916
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08846,0.12397
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08888,0.08209
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0893,0.10827
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.08972,0.09585
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09014,0.1134
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09056,0.1768
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09099,0.11191
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09141,0.11447
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09183,0.0638
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09225,0.11208
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09267,0.07407
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09309,0.0773
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09351,0.09107
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09393,0.07293
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09436,0.04565
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09478,0.08158
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0952,0.08921
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09562,0.12189
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09604,0.05648
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09646,0.08738
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09688,0.00045
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.0973,0.04324
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09773,0.03302
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09815,0.03791
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09857,0.04421
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09899,0.01813
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09941,0.08604
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.09983,0.07716
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10025,0.059
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10067,0.13245
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1011,0.08358
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10152,0.16678
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10194,0.08622
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10236,0.08215
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10278,0.03144
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1032,0.13888
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10362,0.14807
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10404,0.11512
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10447,0.05681
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10489,0.07466
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10531,0.09772
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10573,0.09283
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10615,0.13449
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10657,0.0715
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10699,0.20858
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10741,0.17911
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10783,0.07384
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10826,0.09392
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10868,0.0172
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1091,0.01206
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10952,0.0386
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.10994,0.0242
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11036,0.11907
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11078,0.0934
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1112,0.0267
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11163,0.13719
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11205,0.1173
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11247,0.06803
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11289,0.06342
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11331,0.08196
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11373,0.24443
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11415,0.13729
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11457,0.28302
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.115,0.20986
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11542,0.09054
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11584,0.08376
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11626,0.06114
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11668,0.09825
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1171,0.06771
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11752,0.09685
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11794,0.27113
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11837,0.15044
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11879,0.08923
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11921,0.08519
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.11963,0.108
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12005,0.067
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12047,0.08354
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12089,0.07806
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12131,0.04952
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12174,0.05618
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12216,0.0183
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12258,0.13395
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.123,0.07762
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12342,0.04058
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12384,0.04804
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12426,0.12088
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12468,0.065
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12511,0.07914
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12553,0.1176
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12595,0.07963
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12637,0.1012
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12679,0.07342
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12721,0.13771
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12763,0.11687
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12805,0.16081
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12848,0.11184
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1289,0.11007
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12932,0.10365
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.12974,0.12088
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13016,0.03996
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13058,0.10332
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.131,0.01038
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13142,0.138
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13184,0.0963
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13227,0.05634
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13269,0.08902
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13311,0.23568
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13353,0.17939
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13395,0.13037
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13437,0.12751
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13479,0.11476
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13521,0.09584
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13564,0.10841
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13606,0.08634
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13648,0.05304
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1369,0.11476
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13732,0.11189
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13774,0.08366
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13816,0.15646
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13858,0.07014
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13901,0.12014
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13943,0.19041
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.13985,0.07133
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14027,0.05925
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14069,0.03507
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14111,0.08353
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14153,0.15118
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14195,0.08934
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14238,0.06048
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1428,0.17268
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14322,0.07529
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14364,0.12563
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14406,0.07551
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14448,0.01835
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1449,0.00949
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14532,0.03943
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14575,0.0
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14617,0.25405
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14659,0.16485
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14701,0.18506
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14743,0.17075
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14785,0.09925
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14827,0.40975
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14869,0.11024
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14912,0.11651
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14954,0.04352
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.14996,0.08737
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15038,0.06196
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1508,0.07487
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15122,0.05975
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15164,0.04893
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15206,0.04723
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15249,0.08138
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15291,0.05485
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15333,0.09453
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15375,0.08531
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15417,0.18708
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15459,0.08671
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15501,0.06419
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15543,0.03379
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15586,0.22247
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15628,0.12335
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.1567,0.11899
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15712,0.07081
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15754,0.11806
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15796,0.08486
pronostia,Full_Test_Set_Bearing1_3,VTOI,0.15838,0.0867
